model,combo,sharpe,cost_adjusted_sharpe,sortino,max_drawdown,cvar,turnover
MV,AAVEBTC_ADABTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_BCHBTC_BNBBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_BCHBTC_DOGEBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_BCHBTC_DOTBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_BCHBTC_ETCBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_BCHBTC_ETHBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_BCHBTC_FILBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_BCHBTC_ICPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_BCHBTC_LINKBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_BCHBTC_LTCBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_BCHBTC_NEARBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_BCHBTC_SOLBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_BCHBTC_STXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_BCHBTC_TRXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_BCHBTC_UNIBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_BCHBTC_XLMBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_BCHBTC_XRPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_BNBBTC_DOGEBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_BNBBTC_DOTBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_BNBBTC_ETCBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_BNBBTC_ETHBTC,,,inf,0.0,0.0,0.0
